date,site_name,site_status
5/16/2018,N0193,"A27,off-air"
5/16/2018,N0194,A28
5/16/2018,N0195,"A26,A56,A38,on-air,A62,A64,A47"
5/16/2018,N0196,A45
5/16/2018,N0197,"A55,A26,A8,A94,A51"
5/16/2018,N0198,"A27,A2,A15,A1,A30"
5/16/2018,N0199,"A46,A16,A17"
5/16/2018,N0200,A45
5/16/2018,N0201,A22
5/16/2018,N0202,"A23,off-air"
5/16/2018,N0203,A45
5/16/2018,N0204,"on-air,A21,A32"
5/16/2018,N0205,"off-air,A72"
5/16/2018,N0206,"A55,A38,A11,on-air,A25"
5/16/2018,N0207,"A2,A35"
5/16/2018,N0208,A18
5/16/2018,N0209,"off-air,A35,A28"
5/16/2018,N0210,"A12,A30,A7,A48"
5/16/2018,N0211,"A46,A11,A6,A28,A48"
5/16/2018,N0212,"on-air,A49,A15,A28"
5/16/2018,N0213,"A46,A55,A26,on-air,off-air,A1"
5/16/2018,N0214,A49
5/16/2018,N0215,"A49,A34"
5/16/2018,N0216,"A21,A31"
5/16/2018,N0217,A32
5/16/2018,N0218,"A46,A28,A32,A48"
5/16/2018,N0219,A32
5/16/2018,N0220,"A46,A26,A2,A11,on-air,A14,A57,A49,A65,off-air,A108"
5/16/2018,N0221,"A49,A32"
5/16/2018,N0222,A87
5/16/2018,N0223,"A46,A90,off-air,A28,A45,A48"
5/16/2018,N0224,"A110,A23,A16,A103"
5/16/2018,N0225,"A27,A110,A5,A86,A71,A69,A109,A93"
5/16/2018,N0226,"A73,off-air,A45"
5/16/2018,N0227,A45
5/16/2018,N0228,"A5,A56,A38,A11,A21,A48"
5/16/2018,N0229,"A110,A2,A11,A23,A62,A14,A49,A9 ,off-air,A47,A109,A21"
5/16/2018,N0230,"on-air,A21"
5/16/2018,N0231,"A46,A26,A49,A90,off-air,A51,A81"
5/16/2018,N0232,"A27,A46,A38,A14,A23,A90,off-air,A41,A13"
5/16/2018,N0233,"A110,A11,A14,off-air"
5/16/2018,N0234,"A38,A49,A98,A70,A37"
5/16/2018,N0235,"A38,A94,A11,on-air,A90,off-air"
5/16/2018,N0236,"on-air,A57,A3,A1"
5/16/2018,N0237,"A2,on-air,A23,A62,A6,A57,A39,off-air,A83,A30,A19,A85,A75,A111,A52,A54"
5/16/2018,N0238,"A2,A23,A35,A1,A30,A43,A32"
5/16/2018,N0239,"A11,on-air,A21,A28,A49,A16,A77,A54"
5/16/2018,N0240,"A2,on-air,off-air"
5/16/2018,N0241,"A46,A71,A52,A54"
5/16/2018,N0242,"A27,A26,A50,A60,A38,on-air,A14,A39,A112,A21,A16"
5/16/2018,N0243,"A65,off-air,A21,A32"
5/16/2018,N0244,"A9 ,off-air,A28,A22"
5/16/2018,N0245,"A68,A26,A74,A25,A89"
5/16/2018,N0246,"A55,A11,A57,off-air,A28,A48"
5/16/2018,N0247,"on-air,A49"
5/16/2018,N0248,"off-air,A28"
5/16/2018,N0249,"A46,A8,on-air,A23,A6,A90,off-air,A21,A52"
5/16/2018,N0250,A73
5/16/2018,N0251,"A8,A11,A31"
5/16/2018,N0252,"A38,A11,A6"
5/16/2018,N0253,A28
5/16/2018,N0254,A28
5/16/2018,N0255,"A46,A2,A5,A11,on-air,A6,off-air,A21,A28,A22,A32"
5/16/2018,N0256,"A38,on-air,A37"
5/16/2018,N0257,"A55,A56,A38,A11,A35,A34"
5/16/2018,N0258,A55
5/16/2018,N0259,A22
5/16/2018,N0260,A31
5/16/2018,N0261,"A70,A7"
5/16/2018,N0262,A21
5/16/2018,N0263,"A27,A46,A14,A57,off-air,A1,A51"
5/16/2018,N0264,"A5,A8,A86,A11,on-air,A63,A30,A113,A109,A28,A52,A54"
5/16/2018,N0265,A45
5/16/2018,N0266,A38
5/16/2018,N0267,"A110,A2,A56,A38,on-air,A28"
5/16/2018,N0268,"A27,off-air,A21,A31,A52"
5/16/2018,N0269,"A5,A1"
5/16/2018,N0270,"A5,A38,A94,on-air,A14,A57,A24,A52"
5/16/2018,N0271,"A2,A8,A38,A11,on-air,A9 ,A63,A47,A1,A69,A42"
5/16/2018,N0272,"A50,A11,on-air,A23,A6,off-air,A35,A3,A1,A21,A31"
5/16/2018,N0273,"A29,A8,A11,on-air,A62,A6,A57,off-air,A91,A28,A42"
5/16/2018,N0274,"A29,A2,A5,A38,on-air,A96,off-air"
5/16/2018,N0275,"A27,A2,A86,A11,on-air,off-air,A30,A28"
5/16/2018,N0276,A45
5/16/2018,N0277,"A68,A8,A35"
5/16/2018,N0278,"A33,on-air,A23,A6,A63,A47,A70,A21,A49"
5/16/2018,N0279,A91
5/16/2018,N0280,"A2,A5"
5/16/2018,N0281,"A46,on-air,A6,off-air,A47,A18"
